x,y,t
341.776123046875,675.3931884765625,687
320.0185241699219,667.2340698242188,704
296.44775390625,652.72900390625,721
274.6900939941406,631.8779296875,737
259.2784423828125,605.5874633789062,754
250.2127685546875,575.6707153320312,770
250.2127685546875,543.9407958984375,788
260.1850280761719,502.2386474609375,804
281.0361022949219,463.25628662109375,821
310.0462646484375,427.90008544921875,837
344.495849609375,398.8899230957031,855
383.4783020019531,375.3191833496094,871
424.2738037109375,359.00091552734375,887
466.88250732421875,349.9352722167969,904
509.4912109375,349.9352722167969,921
555.7261962890625,361.7206115722656,938
592.8955078125,386.197998046875,954
619.1859130859375,417.9278259277344,972
632.7844848632812,452.3774108886719,987
635.5042114257812,488.64013671875,1005
629.158203125,518.556884765625,1022
611.02685546875,562.0722045898438,1038
583.8297729492188,602.8677368164062,1055
549.3801879882812,640.9435424804688,1071
509.4912109375,669.0471801757812,1088
466.88250732421875,686.27197265625,1107
422.460693359375,691.71142578125,1121
387.10455322265625,688.0851440429688,1138
355.3746643066406,672.6734619140625,1154
329.0841979980469,647.2896118164062,1173
315.48565673828125,613.74658203125,1188
313.6725158691406,580.2034912109375,1205
326.364501953125,533.9685668945312,1222
355.3746643066406,485.9205017089844,1239
393.4505310058594,444.21832275390625,1256
442.40521240234375,410.67535400390625,1272
496.79925537109375,388.0111083984375,1289
553.9130859375,378.9454040527344,1306
602.8677368164062,386.197998046875,1323
650.00927734375,407.049072265625,1340
683.55224609375,435.1526184082031,1355
700.7770385742188,467.7890625,1372
703.4967651367188,496.79925537109375,1390
689.8982543945312,538.5014038085938,1406
659.9815673828125,584.736328125,1422
617.372802734375,627.3450317382812,1440
566.60498046875,659.9815673828125,1456
505.864990234375,683.55224609375,1473
444.21832275390625,696.2442016601562,1490
383.4783020019531,696.2442016601562,1506
326.364501953125,681.7391967773438,1523
283.7557678222656,656.355224609375,1539
255.6521759033203,622.8121948242188,1557
240.2405242919922,582.9232177734375,1572
236.61424255371094,544.8473510742188,1589
234.80111694335938,496.79925537109375,1606
236.61424255371094,445.1248779296875,1623
237.5208282470703,397.0768127441406,1640
238.42738342285156,357.1878356933594,1657
237.5208282470703,321.8316345214844,1673
235.7076873779297,287.3820495605469,1690
231.17483520507812,254.74560546875,1707
228.4551544189453,223.92230224609375,1723
226.6420135498047,195.81869506835938,1739
226.6420135498047,171.3413543701172,1757
226.6420135498047,149.58372497558594,1774
224.82888793945312,131.45237731933594,1789
222.10916137695312,116.04071044921875,1806
219.3894500732422,106.06845092773438,1823
214.85662841796875,96.09620666503906,1840
209.4171905517578,85.21739959716797,1857
203.977783203125,75.24515533447266,1873
198.5384063720703,66.17945861816406,1891
193.0989990234375,58.92692184448242,1907
189.4727020263672,52.5809440612793,1923
187.6595916748047,48.954673767089844,1940
187.6595916748047,47.14154052734375,1957
190.37928771972656,46.23497009277344,1974
201.25808715820312,44.42183303833008,1991
222.10916137695312,43.515262603759766,2008
251.11932373046875,43.515262603759766,2024
284.662353515625,44.42183303833008,2041
320.0185241699219,47.14154052734375,2058
355.3746643066406,50.76780700683594,2075
392.5439453125,56.20722198486328,2090
425.180419921875,61.64662551879883,2107
456.0037536621094,69.80574035644531,2124
483.20074462890625,78.87141418457031,2141
504.9583740234375,87.93709564208984,2157
523.0897216796875,97.00277709960938,2173
539.407958984375,106.97502136230469,2192
553.0064697265625,116.947265625,2207
566.60498046875,126.91951751708984,2226
579.2969360351562,136.8917694091797,2241
588.3626098632812,145.9574432373047,2258
597.4283447265625,155.02313232421875,2275
604.6808471679688,163.1822509765625,2292
610.1202392578125,171.3413543701172,2308
615.5596923828125,179.50045776367188,2324
618.2793579101562,184.93988037109375,2341
619.1859130859375,191.2858428955078,2359
619.1859130859375,198.5384063720703,2375
611.02685546875,213.04348754882812,2391
585.6430053710938,237.5208282470703,2409
539.407958984375,271.0638732910156,2425
488.64013671875,300.0740051269531,2443
436.0592346191406,325.4579162597656,2458
380.7585754394531,346.3089904785156,2475
326.364501953125,359.00091552734375,2492
275.5966796875,365.346923828125,2508
238.42738342285156,365.346923828125,2526
200.35154724121094,360.8140869140625,2543
165.9019317626953,353.5615539550781,2558
136.8917694091797,340.8695983886719,2576
113.32100677490234,323.6448059082031,2592
98.81591033935547,309.1396789550781,2608
89.75022888183594,291.00836181640625,2625
85.21739959716797,268.3441467285156,2643
84.31082916259766,241.1470947265625,2659
90.65679931640625,203.07122802734375,2676
111.50787353515625,158.64939880371094,2693
148.67715454101562,111.50787353515625,2708
199.44496154785156,69.80574035644531,2726
258.37188720703125,36.262718200683594,2743
317.2987976074219,14.505088806152344,2760
373.50604248046875,0,2777
431.5263671875,-8.159112930297852,2793
488.64013671875,-9.065679550170898,2809
536.6882934570312,-4.532839775085449,2826
577.4838256835938,6.345975875854492,2844
610.1202392578125,21.757631301879883,2859
632.7844848632812,37.169288635253906,2876
648.1961059570312,54.39407730102539,2893
657.2619018554688,74.33857727050781,2909
658.1683959960938,97.00277709960938,2926
649.1026611328125,121.4801254272461,2942
625.531982421875,156.8362579345703,2958
591.9889526367188,193.0989990234375,2976
550.2867431640625,231.17483520507812,2994
505.864990234375,270.1572570800781,3009
464.162841796875,309.1396789550781,3026
430.61981201171875,347.215576171875,3043
404.329345703125,383.4783020019531,3059
385.2913818359375,420.6475524902344,3076
375.3191833496094,456.0037536621094,3093
370.7863464355469,492.2664489746094,3109
371.69287109375,530.34228515625,3126
378.0388488769531,570.2312622070312,3142
390.7308349609375,604.6808471679688,3159
411.5818786621094,630.0647583007812,3176
443.311767578125,647.2896118164062,3192
485.9205017089844,654.5421752929688,3210
533.9685668945312,650.00927734375,3226
583.8297729492188,636.4107666015625,3243
626.4384765625,616.4662475585938,3260
655.4486694335938,591.9889526367188,3277
669.9537963867188,569.32470703125,3293
